"","Gene","kTotal"
"LOC105827893","LOC105827893",199.498614313254
"LOC105827894","LOC105827894",17.9234217824305
"LOC105827895","LOC105827895",20.5631066163273
"LOC105827896","LOC105827896",528.896590227609
"LOC105827897","LOC105827897",35.3196324408901
"LOC105827898","LOC105827898",36.8822214579402
"LOC105827899","LOC105827899",5.86189523168747
"LOC105827900","LOC105827900",14.442008383865
"LOC105827915","LOC105827915",100.258013386795
"LOC105827917","LOC105827917",4.33876118407284
"LOC105827925","LOC105827925",35.7109652624991
"LOC105827936","LOC105827936",491.129333757161
"LOC105827943","LOC105827943",88.1803351335148
"LOC105827956","LOC105827956",13.6528186309811
"LOC105827961","LOC105827961",8.1629194393427
"LOC105827967","LOC105827967",4.40590652965898
"LOC105827978","LOC105827978",4.8298001759114
"LOC105827979","LOC105827979",8.1629194393427
"LOC105827989","LOC105827989",16.4311581279024
"LOC105828000","LOC105828000",2.0873212839727
"LOC105828009","LOC105828009",8.1629194393427
"LOC105828011","LOC105828011",67.5274190107215
"LOC105828022","LOC105828022",32.5021219763277
"LOC105828030","LOC105828030",2.95247646025947
"LOC105828033","LOC105828033",8.69025496059873
"LOC105828038","LOC105828038",8.1629194393427
"LOC105828039","LOC105828039",4.92813581452682
"LOC105828040","LOC105828040",5.10867541377036
"LOC105828053","LOC105828053",28.4132562948165
"LOC105828061","LOC105828061",4.48813240961928
"LOC105828072","LOC105828072",28.081431191122
"LOC105828079","LOC105828079",4.19451004386079
"LOC105828083","LOC105828083",10.2794935897565
"LOC105828088","LOC105828088",665.696135300214
"LOC105828098","LOC105828098",11.7029155589958
"LOC105828106","LOC105828106",9.64755621101971
"LOC105828108","LOC105828108",28.4132562948165
"LOC105828113","LOC105828113",54.2226946549193
"LOC105828116","LOC105828116",25.1693150274857
"LOC105828118","LOC105828118",45.3690052599916
"LOC105828120","LOC105828120",119.612476844938
"LOC105828121","LOC105828121",30.8543814867962
"LOC105828122","LOC105828122",16.4053176618464
"LOC105828123","LOC105828123",164.592494632784
"LOC105828124","LOC105828124",359.984996347554
"LOC105828125","LOC105828125",84.1357019878469
"LOC105828126","LOC105828126",374.455901013753
"LOC105828127","LOC105828127",2.82319505143266
"LOC105828128","LOC105828128",496.386366639166
"LOC105828129","LOC105828129",126.815345579944
"LOC105828130","LOC105828130",437.565713532289
"LOC105828131","LOC105828131",24.3128509055606
"LOC105828132","LOC105828132",262.42050591028
"LOC105828133","LOC105828133",499.755012383461
"LOC105828134","LOC105828134",313.755834245429
"LOC105828135","LOC105828135",591.908831698328
"LOC105828137","LOC105828137",31.2472685371524
"LOC105828138","LOC105828138",70.9068252703615
"LOC105828139","LOC105828139",11.7029155589958
"LOC105828140","LOC105828140",226.873701585768
"LOC105828141","LOC105828141",635.403504094711
"LOC105828142","LOC105828142",159.938787069678
"LOC105828143","LOC105828143",114.634816995252
"LOC105828144","LOC105828144",475.618833990423
"LOC105828145","LOC105828145",6.24277877559336
"LOC105828146","LOC105828146",329.709229536749
"LOC105828147","LOC105828147",1.90603697372948
"LOC105828149","LOC105828149",53.5590965194687
"LOC105828151","LOC105828151",3.65549315087462
"LOC105828152","LOC105828152",82.5778404828083
"LOC105828153","LOC105828153",35.6886942695626
"LOC105828154","LOC105828154",29.126166431187
"LOC105828155","LOC105828155",71.7923257880935
"LOC105828156","LOC105828156",15.5234352755205
"LOC105828157","LOC105828157",16.7377441542532
"LOC105828158","LOC105828158",430.17043554039
"LOC105828159","LOC105828159",284.305467580847
"LOC105828160","LOC105828160",16.2494656461459
"LOC105828161","LOC105828161",325.736562216888
"LOC105828162","LOC105828162",213.241816273637
"LOC105828163","LOC105828163",11.744566994168
"LOC105828164","LOC105828164",3.84281844112318
"LOC105828165","LOC105828165",21.1168032380797
"LOC105828166","LOC105828166",10.9603482411102
"LOC105828167","LOC105828167",2.57635891859702
"LOC105828168","LOC105828168",3.18103502432184
"LOC105828169","LOC105828169",725.079539873174
"LOC105828170","LOC105828170",623.365941785512
"LOC105828171","LOC105828171",263.507153716294
"LOC105828172","LOC105828172",41.6284660831139
"LOC105828173","LOC105828173",416.291817379416
"LOC105828174","LOC105828174",24.4344422621668
"LOC105828175","LOC105828175",722.380077124154
"LOC105828176","LOC105828176",357.354587196553
"LOC105828178","LOC105828178",11.2335144815105
"LOC105828179","LOC105828179",43.6473711163075
"LOC105828180","LOC105828180",27.7869724252304
"LOC105828181","LOC105828181",74.5599094541987
"LOC105828182","LOC105828182",147.057169394913
"LOC105828183","LOC105828183",95.0386458744819
"LOC105828184","LOC105828184",353.19694820724
"LOC105828185","LOC105828185",213.954792678771
"LOC105828186","LOC105828186",127.417405899519
"LOC105828187","LOC105828187",537.636044569999
"LOC105828188","LOC105828188",143.606423929224
"LOC105828189","LOC105828189",44.360355010642
"LOC105828190","LOC105828190",59.5369339814896
"LOC105828191","LOC105828191",625.083312040045
"LOC105828192","LOC105828192",356.603375350812
"LOC105828193","LOC105828193",695.801113158633
"LOC105828194","LOC105828194",360.126866952371
"LOC105828195","LOC105828195",188.189828482794
"LOC105828196","LOC105828196",44.8053771382072
"LOC105828197","LOC105828197",36.2607098552242
"LOC105828198","LOC105828198",22.9211285145054
"LOC105828199","LOC105828199",274.659477092394
"LOC105828200","LOC105828200",11.7133985397922
"LOC105828201","LOC105828201",447.705778049404
"LOC105828202","LOC105828202",9.64755621101972
"LOC105828203","LOC105828203",47.9264438997245
"LOC105828204","LOC105828204",2.40424853372481
"LOC105828205","LOC105828205",105.178495342711
"LOC105828206","LOC105828206",428.07611873671
"LOC105828207","LOC105828207",368.73251189611
"LOC105828208","LOC105828208",269.894734485969
"LOC105828209","LOC105828209",49.6197284841205
"LOC105828210","LOC105828210",93.3539155319467
"LOC105828211","LOC105828211",41.2337834988659
"LOC105828212","LOC105828212",56.191419148148
"LOC105828213","LOC105828213",262.548173012989
"LOC105828214","LOC105828214",1.26926997666559
"LOC105828215","LOC105828215",681.447884147007
"LOC105828217","LOC105828217",8.68284266341622
"LOC105828218","LOC105828218",413.381596846043
"LOC105828219","LOC105828219",332.186403479996
"LOC105828220","LOC105828220",64.611012891232
"LOC105828221","LOC105828221",511.005928946344
"LOC105828222","LOC105828222",22.8597103110095
"LOC105828223","LOC105828223",31.3541223005905
"LOC105828225","LOC105828225",551.733161448395
"LOC105828226","LOC105828226",77.8218797393988
"LOC105828227","LOC105828227",1.77917982922741
"LOC105828228","LOC105828228",63.5902054741426
"LOC105828229","LOC105828229",437.299203134979
"LOC105828230","LOC105828230",24.2951448955841
"LOC105828231","LOC105828231",12.8787632670245
"LOC105828232","LOC105828232",38.1228118125773
"LOC105828233","LOC105828233",136.834531520783
"LOC105828234","LOC105828234",10.6711151693498
"LOC105828235","LOC105828235",36.5486644959089
"LOC105828236","LOC105828236",315.03046096176
"LOC105828237","LOC105828237",1.77843417507776
"LOC105828238","LOC105828238",139.422461919822
"LOC105828240","LOC105828240",38.568135733719
"LOC105828241","LOC105828241",15.6803401214746
"LOC105828242","LOC105828242",276.51742690195
"LOC105828243","LOC105828243",283.830906669272
"LOC105828244","LOC105828244",132.438905569967
"LOC105828245","LOC105828245",6.06249867543967
"LOC105828246","LOC105828246",286.967728439903
"LOC105828247","LOC105828247",548.239150423984
"LOC105828248","LOC105828248",25.9390548077547
"LOC105828249","LOC105828249",85.6218239511782
"LOC105828250","LOC105828250",490.724462544714
"LOC105828251","LOC105828251",225.442353849696
"LOC105828252","LOC105828252",44.4004051925732
"LOC105828253","LOC105828253",11.7155960257381
"LOC105828254","LOC105828254",130.854472078912
"LOC105828255","LOC105828255",279.536842017065
"LOC105828256","LOC105828256",94.7078740020128
"LOC105828257","LOC105828257",9.24768954558826
"LOC105828258","LOC105828258",10.3121167617404
"LOC105828259","LOC105828259",2.87090333898693
"LOC105828260","LOC105828260",270.553265887882
"LOC105828261","LOC105828261",18.5949735035834
"LOC105828262","LOC105828262",305.223087244731
"LOC105828263","LOC105828263",19.3580509090679
"LOC105828264","LOC105828264",37.1313669515257
"LOC105828266","LOC105828266",20.6999615093963
"LOC105828267","LOC105828267",24.4986140450797
"LOC105828268","LOC105828268",25.9255665793725
"LOC105828269","LOC105828269",55.9353957067491
"LOC105828270","LOC105828270",2.13635369400692
"LOC105828271","LOC105828271",356.323043727616
"LOC105828272","LOC105828272",4.6840948363587
"LOC105828273","LOC105828273",98.6953813189415
"LOC105828274","LOC105828274",247.027914514443
"LOC105828275","LOC105828275",532.729798728169
"LOC105828276","LOC105828276",101.578572960693
"LOC105828277","LOC105828277",354.874161540261
"LOC105828278","LOC105828278",1.26405507569007
"LOC105828279","LOC105828279",2.36786215150222
"LOC105828281","LOC105828281",769.832226332168
"LOC105828282","LOC105828282",234.263058694046
"LOC105828283","LOC105828283",62.3035062721542
"LOC105828284","LOC105828284",343.473940206123
"LOC105828285","LOC105828285",134.472098975269
"LOC105828286","LOC105828286",283.218019702415
"LOC105828287","LOC105828287",72.9994901954806
"LOC105828288","LOC105828288",18.2093533921322
"LOC105828289","LOC105828289",9.81584166264673
"LOC105828290","LOC105828290",3.05137346815008
"LOC105828291","LOC105828291",67.8364755064055
"LOC105828292","LOC105828292",25.213043520006
"LOC105828293","LOC105828293",222.529085868102
"LOC105828294","LOC105828294",3.22716366276961
"LOC105828295","LOC105828295",45.4187094975891
"LOC105828296","LOC105828296",29.9849433635387
"LOC105828297","LOC105828297",71.9483482507651
"LOC105828299","LOC105828299",15.4443451548519
"LOC105828300","LOC105828300",444.1346088219
"LOC105828301","LOC105828301",60.4329007139732
"LOC105828302","LOC105828302",235.273555449723
"LOC105828303","LOC105828303",13.3969359262151
"LOC105828305","LOC105828305",224.605936503432
"LOC105828306","LOC105828306",202.442298053245
"LOC105828307","LOC105828307",682.430671830366
"LOC105828308","LOC105828308",9.6559852929377
"LOC105828309","LOC105828309",108.954897461248
"LOC105828310","LOC105828310",11.8855423178645
"LOC105828311","LOC105828311",54.8452938008012
"LOC105828312","LOC105828312",335.033215779687
"LOC105828313","LOC105828313",19.3672708500925
"LOC105828314","LOC105828314",557.459050193769
"LOC105828315","LOC105828315",59.1562084922096
"LOC105828316","LOC105828316",108.791303974176
"LOC105828317","LOC105828317",503.286068510636
"LOC105828318","LOC105828318",58.6725467006481
"LOC105828319","LOC105828319",156.829628412401
"LOC105828320","LOC105828320",94.6040218000707
"LOC105828321","LOC105828321",4.72009959779618
"LOC105828322","LOC105828322",162.8657985083
"LOC105828323","LOC105828323",8.92294651511244
"LOC105828324","LOC105828324",6.54617229664601
"LOC105828325","LOC105828325",41.7553210949102
"LOC105828326","LOC105828326",123.749735612919
"LOC105828327","LOC105828327",151.554994932685
"LOC105828328","LOC105828328",228.768356954303
"LOC105828329","LOC105828329",343.218652076716
"LOC105828330","LOC105828330",448.044013594395
"LOC105828331","LOC105828331",392.913536509147
"LOC105828332","LOC105828332",38.9385084583646
"LOC105828333","LOC105828333",211.208625782589
"LOC105828334","LOC105828334",52.8476916048605
"LOC105828335","LOC105828335",214.807653025122
"LOC105828336","LOC105828336",146.939803855
"LOC105828337","LOC105828337",182.608933702086
"LOC105828338","LOC105828338",22.2201152718914
"LOC105828339","LOC105828339",12.9421275222351
"LOC105828340","LOC105828340",10.739661663947
"LOC105828341","LOC105828341",29.157169052022
"LOC105828342","LOC105828342",372.010660635905
"LOC105828343","LOC105828343",4.93289645686233
"LOC105828344","LOC105828344",613.184668317687
"LOC105828345","LOC105828345",326.350489990004
"LOC105828346","LOC105828346",12.3512165402152
"LOC105828347","LOC105828347",26.4439708730051
"LOC105828348","LOC105828348",2.50788088798973
"LOC105828349","LOC105828349",26.2100142821969
"LOC105828350","LOC105828350",256.066431220333
"LOC105828351","LOC105828351",83.1344829390489
"LOC105828352","LOC105828352",6.65223731536977
"LOC105828353","LOC105828353",522.470001120656
"LOC105828354","LOC105828354",39.2901374004976
"LOC105828355","LOC105828355",3.61011588584131
"LOC105828356","LOC105828356",62.5832147254479
"LOC105828357","LOC105828357",66.0336363017956
"LOC105828358","LOC105828358",60.8876287232673
"LOC105828359","LOC105828359",141.447736364382
"LOC105828360","LOC105828360",109.752005387162
"LOC105828361","LOC105828361",90.9062091199471
"LOC105828362","LOC105828362",8.20382402316155
"LOC105828363","LOC105828363",156.15782095219
"LOC105828364","LOC105828364",395.673195473942
"LOC105828365","LOC105828365",124.59788837556
"LOC105828366","LOC105828366",427.601386127451
"LOC105828367","LOC105828367",433.362118084628
"LOC105828368","LOC105828368",25.9940322958752
"LOC105828369","LOC105828369",196.60050332811
"LOC105828370","LOC105828370",97.8628361035669
"LOC105828371","LOC105828371",4.33876118407284
"LOC105828372","LOC105828372",427.787025277287
"LOC105828373","LOC105828373",36.7609053761901
"LOC105828374","LOC105828374",6.22168751547427
"LOC105828375","LOC105828375",43.7611935548258
"LOC105828376","LOC105828376",26.1260742636324
"LOC105828377","LOC105828377",82.6466841392338
"LOC105828378","LOC105828378",20.9195648529159
"LOC105828379","LOC105828379",8.57375031348027
"LOC105828380","LOC105828380",527.799559876163
"LOC105828381","LOC105828381",45.1335895692058
"LOC105828382","LOC105828382",276.113322997421
"LOC105828383","LOC105828383",522.535826002017
"LOC105828384","LOC105828384",178.705153486558
"LOC105828385","LOC105828385",803.056594855451
"LOC105828386","LOC105828386",51.9561918439791
"LOC105828387","LOC105828387",634.042097977841
"LOC105828388","LOC105828388",261.472871554001
"LOC105828389","LOC105828389",50.0118760136877
"LOC105828390","LOC105828390",293.297664602764
"LOC105828391","LOC105828391",241.165476926366
"LOC105828392","LOC105828392",60.9724666331805
"LOC105828393","LOC105828393",325.836742578035
"LOC105828394","LOC105828394",461.909858577247
"LOC105828395","LOC105828395",87.5074026742789
"LOC105828396","LOC105828396",385.256981479818
"LOC105828397","LOC105828397",6.8162709329562
"LOC105828398","LOC105828398",570.238819625306
"LOC105828399","LOC105828399",456.559417706028
"LOC105828400","LOC105828400",130.863985650924
"LOC105828401","LOC105828401",53.3894792609836
"LOC105828402","LOC105828402",451.657295235221
"LOC105828403","LOC105828403",551.346124524835
"LOC105828404","LOC105828404",308.893855851148
"LOC105828405","LOC105828405",17.6879954247981
"LOC105828406","LOC105828406",292.075765490113
"LOC105828407","LOC105828407",651.568418274488
"LOC105828408","LOC105828408",61.2384047060196
"LOC105828409","LOC105828409",311.338479276806
"LOC105828410","LOC105828410",14.2717238585991
"LOC105828411","LOC105828411",510.968606336146
"LOC105828412","LOC105828412",276.832365217317
"LOC105828413","LOC105828413",339.733582587722
"LOC105828414","LOC105828414",209.444913682065
"LOC105828415","LOC105828415",8.30367493971768
"LOC105828416","LOC105828416",50.9742842937542
"LOC105828417","LOC105828417",81.5731810201511
"LOC105828418","LOC105828418",432.675574843514
"LOC105828419","LOC105828419",618.16475842583
"LOC105828420","LOC105828420",183.443047140748
"LOC105828421","LOC105828421",63.4240247108124
"LOC105828422","LOC105828422",33.4899485401045
"LOC105828423","LOC105828423",7.43421157026848
"LOC105828424","LOC105828424",92.6910422901064
"LOC105828426","LOC105828426",8.52907264959997
"LOC105828427","LOC105828427",279.60037619224
"LOC105828428","LOC105828428",42.1887675097944
"LOC105828429","LOC105828429",14.6627601392268
"LOC105828430","LOC105828430",480.443648794733
"LOC105828432","LOC105828432",780.296404441947
"LOC105828433","LOC105828433",619.310047863676
"LOC105828434","LOC105828434",275.595006022447
"LOC105828435","LOC105828435",26.4755509153972
"LOC105828436","LOC105828436",27.9183063705489
"LOC105828437","LOC105828437",22.6167220881145
"LOC105828438","LOC105828438",75.2679157331361
"LOC105828439","LOC105828439",3.3719775491383
"LOC105828440","LOC105828440",24.4963340645431
"LOC105828441","LOC105828441",11.1871945284903
"LOC105828442","LOC105828442",26.4283246384285
"LOC105828443","LOC105828443",1.60809099865682
"LOC105828444","LOC105828444",224.070139483803
"LOC105828445","LOC105828445",4.76304921886052
