"","Gene","kTotal"
"LOC102656398","LOC102656398",7.46983820484342
"LOC102656402","LOC102656402",3.29587290746877
"LOC102656403","LOC102656403",63.892116649822
"LOC102656404","LOC102656404",43.9730352311649
"LOC102656408","LOC102656408",7.04881619196043
"LOC102656409","LOC102656409",9.0454723626188
"LOC102656410","LOC102656410",6.28823970237697
"LOC102656412","LOC102656412",68.3648817623235
"LOC102656416","LOC102656416",1.58823487092858
"LOC102656417","LOC102656417",76.9188064951957
"LOC102656419","LOC102656419",3.57889763735117
"LOC102656421","LOC102656421",10.5240776900968
"LOC102656423","LOC102656423",14.729028378904
"LOC102656424","LOC102656424",4.2389240682035
"LOC102656425","LOC102656425",9.49096868840213
"LOC102656426","LOC102656426",148.742453350828
"LOC102656428","LOC102656428",4.41726441030412
"LOC102656429","LOC102656429",9.78382895484212
"LOC102656430","LOC102656430",60.031987991864
"LOC102656431","LOC102656431",110.533406178927
"LOC102656432","LOC102656432",136.602589082763
"LOC102656433","LOC102656433",50.2267524971057
"LOC102656434","LOC102656434",25.0661564280928
"LOC102656439","LOC102656439",34.1873372689694
"LOC102656440","LOC102656440",1.76223825148386
"LOC102656442","LOC102656442",40.0649919001947
"LOC102656444","LOC102656444",70.2396754566747
"LOC102656447","LOC102656447",3.48838208182017
"LOC102656448","LOC102656448",55.3486928877441
"LOC102656449","LOC102656449",1.7074791712431
"LOC102656451","LOC102656451",3.93712542152134
"LOC102656452","LOC102656452",21.3831491747142
"LOC102656453","LOC102656453",150.055422325782
"LOC102656459","LOC102656459",5.59907953060017
"LOC102656460","LOC102656460",9.24116389772473
"LOC102656461","LOC102656461",37.1377083922622
"LOC102656463","LOC102656463",3.13576476589606
"LOC102656464","LOC102656464",46.6524688065756
"LOC102656465","LOC102656465",2.03614704311263
"LOC102656466","LOC102656466",126.130549096137
"LOC102656472","LOC102656472",4.35380277700138
"LOC102656473","LOC102656473",5.37270642724688
"LOC102656475","LOC102656475",8.72677198902262
"LOC102656479","LOC102656479",9.1020877632344
"LOC102656483","LOC102656483",60.2501567846045
"LOC102656485","LOC102656485",52.5605658967411
"LOC102656486","LOC102656486",3.35162534039667
"LOC102656487","LOC102656487",10.1827204669518
"LOC102656488","LOC102656488",6.8179839084559
"LOC102656489","LOC102656489",1.82590750051429
"LOC102656490","LOC102656490",11.0993105272754
"LOC102656491","LOC102656491",19.8607643339106
"LOC102656492","LOC102656492",142.590164765452
"LOC102656493","LOC102656493",1.45431229095833
"LOC102656494","LOC102656494",2.82361782696011
"LOC102656496","LOC102656496",4.76990390216585
"LOC102656497","LOC102656497",23.9028770500182
"LOC102656498","LOC102656498",13.2736302904418
"LOC102656499","LOC102656499",9.45193915774839
"LOC102656500","LOC102656500",295.748647076695
"LOC102656501","LOC102656501",109.260691860451
"LOC102656502","LOC102656502",133.412779246657
"LOC102656504","LOC102656504",13.1993831320914
"LOC102656505","LOC102656505",65.3768084075859
"LOC102656508","LOC102656508",36.230417458969
"LOC102656509","LOC102656509",15.7445729452445
"LOC102656511","LOC102656511",32.1934204503862
"LOC102656513","LOC102656513",2.06487013986278
"LOC102656514","LOC102656514",2.59290034460657
"LOC102656515","LOC102656515",197.520631657482
"LOC102656517","LOC102656517",21.3425002841042
"LOC102656519","LOC102656519",42.3570328227061
"LOC102656523","LOC102656523",27.0819694157772
"LOC102656525","LOC102656525",31.6375403137921
"LOC102656527","LOC102656527",11.7103447874748
"LOC102656529","LOC102656529",23.4580230406424
"LOC102656530","LOC102656530",63.4919545877214
"LOC102656532","LOC102656532",5.06344749400353
"LOC102656533","LOC102656533",5.77776467330482
"LOC102656534","LOC102656534",26.0088266923308
"LOC102656535","LOC102656535",21.583441979347
"LOC102656537","LOC102656537",1.21357052270394
"LOC102656539","LOC102656539",172.980328036776
"LOC102656541","LOC102656541",29.2144155260192
"LOC102656543","LOC102656543",2.7782354944271
"LOC102656544","LOC102656544",48.2859975837828
"LOC102656545","LOC102656545",40.5000576130179
"LOC102656548","LOC102656548",26.2468740651433
"LOC102656549","LOC102656549",4.07811107118577
"LOC102656552","LOC102656552",72.925792486442
"LOC102656553","LOC102656553",7.03748502756131
"LOC102656554","LOC102656554",28.7441400372905
"LOC102656555","LOC102656555",46.9764024991959
"LOC102656556","LOC102656556",4.31631228920424
"LOC102656557","LOC102656557",8.80713133265239
"LOC102656558","LOC102656558",5.33001768303621
"LOC102656559","LOC102656559",2.93683802563076
"LOC102656560","LOC102656560",24.0810451916832
"LOC102656561","LOC102656561",61.0415387228359
"LOC102656562","LOC102656562",66.4981941684023
"LOC102656563","LOC102656563",6.18959337201603
"LOC102656564","LOC102656564",274.342967438416
"LOC102656566","LOC102656566",2.20088657071242
"LOC102656567","LOC102656567",49.3559546970042
"LOC102656568","LOC102656568",243.800021076669
"LOC102656570","LOC102656570",10.9463103715926
"LOC102656571","LOC102656571",14.451348308533
"LOC102656572","LOC102656572",4.62659406610839
"LOC102656573","LOC102656573",2.29153285840064
"LOC102656574","LOC102656574",6.78166145333356
"LOC102656575","LOC102656575",352.325310935274
"LOC102656577","LOC102656577",195.382014545441
"LOC102656579","LOC102656579",7.7608319437305
"LOC102656582","LOC102656582",3.51900492850534
"LOC102656583","LOC102656583",55.9689667724548
"LOC102656584","LOC102656584",1.9387773576245
"LOC102656585","LOC102656585",58.4382707234164
"LOC102656586","LOC102656586",35.0945477781543
"LOC102656587","LOC102656587",114.390242885525
"LOC102656589","LOC102656589",10.1777976408775
"LOC102656592","LOC102656592",1.40114564234083
"LOC102656593","LOC102656593",3.16107777240794
"LOC102656594","LOC102656594",70.6451258914132
"LOC102656595","LOC102656595",2.3670253712664
"LOC102656598","LOC102656598",38.8564706883163
"LOC102656599","LOC102656599",51.8326709413373
"LOC102656600","LOC102656600",15.3893211272052
"LOC102656601","LOC102656601",21.498575750923
"LOC102656603","LOC102656603",384.529670557
"LOC102656605","LOC102656605",66.8393972880763
"LOC102656608","LOC102656608",52.1831012052337
"LOC102656610","LOC102656610",54.0305847460616
"LOC102656611","LOC102656611",41.1392549742804
"LOC102656613","LOC102656613",1.61579171919964
"LOC102656614","LOC102656614",4.14734707887702
"LOC102656615","LOC102656615",10.3404599080017
"LOC102656618","LOC102656618",24.5262197937884
"LOC102656619","LOC102656619",4.1438502514671
"LOC102656620","LOC102656620",47.2712996394567
"LOC102656621","LOC102656621",4.7188173441112
"LOC102656625","LOC102656625",9.16275591670388
"LOC102656627","LOC102656627",8.61900555312959
"LOC102656628","LOC102656628",2.45174394155026
"LOC102656629","LOC102656629",6.35983599454968
"LOC102656630","LOC102656630",5.56382840490387
"LOC102656631","LOC102656631",7.90229446601297
"LOC102656634","LOC102656634",23.4495274283141
"LOC102656635","LOC102656635",6.86287153282945
"LOC102656636","LOC102656636",6.06613821350487
"LOC102656637","LOC102656637",21.7567394844648
"LOC102656639","LOC102656639",107.824247506037
"LOC102656640","LOC102656640",41.504635376105
"LOC102656641","LOC102656641",6.59491812331606
"LOC102656643","LOC102656643",8.9272848330186
"LOC102656644","LOC102656644",15.0813826952669
"LOC102656645","LOC102656645",410.898298545278
"LOC102656647","LOC102656647",24.8637413928551
"LOC102656648","LOC102656648",9.14690358822426
"LOC102656650","LOC102656650",10.2693034785888
"LOC102656652","LOC102656652",20.0976156935751
"LOC102656653","LOC102656653",149.053807545053
"LOC102656655","LOC102656655",150.350410269967
"LOC102656656","LOC102656656",39.5617206281246
"LOC102656657","LOC102656657",37.7825949052146
"LOC102656658","LOC102656658",4.94408089126524
"LOC102656661","LOC102656661",33.3499601396103
"LOC102656663","LOC102656663",259.995094587762
"LOC102656664","LOC102656664",5.82054002121465
"LOC102656667","LOC102656667",5.8984755653127
"LOC102656668","LOC102656668",16.6276360991818
"LOC102656669","LOC102656669",42.0333781346651
"LOC102656671","LOC102656671",10.5397499171217
"LOC102656672","LOC102656672",18.7180638224647
"LOC102656676","LOC102656676",7.10081251604641
"LOC102656679","LOC102656679",4.3120851006959
"LOC102656681","LOC102656681",59.9905473619034
"LOC102656682","LOC102656682",3.78820981343375
"LOC102656683","LOC102656683",6.55946578812194
"LOC102656685","LOC102656685",15.7158189609949
"LOC102656687","LOC102656687",10.2456115934546
"LOC102656690","LOC102656690",4.83767854410682
"LOC102656694","LOC102656694",14.592783235392
"LOC102656697","LOC102656697",3.66945967697419
"LOC102656698","LOC102656698",1.4842684520508
"LOC102656699","LOC102656699",113.179356091687
"LOC102656701","LOC102656701",13.315279524534
"LOC102656705","LOC102656705",38.1871200673451
"LOC102656706","LOC102656706",26.6198756474528
"LOC102656707","LOC102656707",8.21038337310565
"LOC102656708","LOC102656708",19.398263016695
"LOC102656709","LOC102656709",29.9117928258138
"LOC102656710","LOC102656710",3.12051638021557
"LOC102656712","LOC102656712",76.4852979360072
"LOC102656715","LOC102656715",13.2239023645553
"LOC102656717","LOC102656717",3.92494863680863
"LOC102656718","LOC102656718",18.7720423426962
"LOC102656719","LOC102656719",177.195945422325
"LOC102656720","LOC102656720",10.1278815438233
"LOC102656722","LOC102656722",2.35032366524714
"LOC102656723","LOC102656723",81.0302750991628
"LOC102656724","LOC102656724",70.8827677165893
"LOC102656725","LOC102656725",8.79685372489627
"LOC102656727","LOC102656727",2.82474330164827
"LOC102656729","LOC102656729",259.091989954479
"LOC102656730","LOC102656730",1.54617835274916
"LOC102656731","LOC102656731",1.78377906464239
"LOC102656732","LOC102656732",20.1200300966742
"LOC102656733","LOC102656733",25.9508479877124
"LOC102656737","LOC102656737",3.2876101736709
"LOC102656738","LOC102656738",237.380339000261
"LOC102656740","LOC102656740",2.67293415946388
"LOC102656744","LOC102656744",11.5660629481003
"LOC102656745","LOC102656745",1.14619576279151
"LOC102656747","LOC102656747",2.51559665557698
"LOC102656748","LOC102656748",43.1955576797693
"LOC102656752","LOC102656752",78.406959485378
"LOC102656753","LOC102656753",2.13544662574569
"LOC102656757","LOC102656757",58.5329731332655
"LOC102656758","LOC102656758",7.21061748573755
"LOC102656759","LOC102656759",2.87204945106071
"LOC102656761","LOC102656761",4.69823796429887
"LOC102656762","LOC102656762",3.6509875324314
"LOC102656765","LOC102656765",30.36794193165
"LOC102656766","LOC102656766",30.0646150782604
"LOC102656770","LOC102656770",1.88468738950296
"LOC102656772","LOC102656772",22.9679944949458
"LOC102656773","LOC102656773",2.08092974584998
"LOC102656774","LOC102656774",4.23928944258239
"LOC102656775","LOC102656775",1.82752883094048
"LOC102656777","LOC102656777",12.9970834163848
"LOC102656778","LOC102656778",71.3407456744948
"LOC102656779","LOC102656779",10.1344371536013
"LOC102656780","LOC102656780",7.18712966161627
"LOC102656784","LOC102656784",90.9117474948025
"LOC102656786","LOC102656786",1.98016043521456
"LOC102656787","LOC102656787",405.049403573476
"LOC102656788","LOC102656788",12.5441572197837
"LOC102656790","LOC102656790",13.428835252935
"LOC102656792","LOC102656792",10.6135144391262
"LOC102656796","LOC102656796",14.2572561342958
"LOC102656798","LOC102656798",6.08242236589205
"LOC102656799","LOC102656799",1.29058402454254
"LOC102656801","LOC102656801",7.35960696208218
"LOC102656802","LOC102656802",2.19417824676699
"LOC102656804","LOC102656804",9.43773965178813
"LOC102656805","LOC102656805",3.13997783367555
"LOC102656808","LOC102656808",83.1672928306175
"LOC102656809","LOC102656809",4.88143902904872
"LOC102656810","LOC102656810",4.3079030969432
"LOC102656812","LOC102656812",28.3133688475226
"LOC102656814","LOC102656814",57.1255191762841
"LOC102656816","LOC102656816",90.9355610905369
"LOC102656818","LOC102656818",164.47316142964
"LOC102656819","LOC102656819",22.7358902045414
"LOC102656820","LOC102656820",23.5286579668865
"LOC102656821","LOC102656821",2.79628340460993
"LOC102656822","LOC102656822",59.6428801870554
"LOC102656823","LOC102656823",182.523888619188
"LOC102656824","LOC102656824",25.384054345854
"LOC102656827","LOC102656827",1.71142885658201
"LOC102656828","LOC102656828",2.89592432946844
"LOC102656830","LOC102656830",2.65086431548213
"LOC102656835","LOC102656835",265.486841853047
"LOC102656838","LOC102656838",1.91350049230008
"LOC102656840","LOC102656840",81.765026617465
"LOC102656841","LOC102656841",89.0130331994327
"LOC102656842","LOC102656842",40.0302817801479
"LOC102656843","LOC102656843",4.79324436569951
"LOC102656846","LOC102656846",354.654220645569
"LOC102656847","LOC102656847",4.4821600938825
"LOC102656849","LOC102656849",110.676664477586
"LOC102656852","LOC102656852",5.14059190954689
"LOC102656853","LOC102656853",17.4476006516464
"LOC102656854","LOC102656854",21.1162420986858
"LOC102656855","LOC102656855",12.1279142875676
"LOC102656856","LOC102656856",22.4519951299421
"LOC102656859","LOC102656859",13.1367407868816
"LOC102656860","LOC102656860",30.6167500207604
"LOC102656862","LOC102656862",88.3258376904807
"LOC102656864","LOC102656864",6.04296062286392
"LOC102656871","LOC102656871",27.2197403080909
"LOC102656875","LOC102656875",29.5231048373909
"LOC102656876","LOC102656876",2.58943704978036
"LOC102656877","LOC102656877",41.8682496620978
"LOC102656882","LOC102656882",2.19027038982231
"LOC102656885","LOC102656885",302.163496134531
"LOC102656888","LOC102656888",112.895647168376
"LOC102656889","LOC102656889",18.4024355936646
"LOC102656890","LOC102656890",83.4980591827006
"LOC102656891","LOC102656891",5.6735943017163
"LOC102656892","LOC102656892",38.4523897852658
"LOC102656893","LOC102656893",19.2738298867123
"LOC102656895","LOC102656895",96.8220391992044
"LOC102656896","LOC102656896",4.19668820631858
"LOC102656898","LOC102656898",6.74207443982698
"LOC102656900","LOC102656900",10.8443505743585
"LOC102656901","LOC102656901",43.3154680753378
"LOC102656903","LOC102656903",3.56923094216432
"LOC102656904","LOC102656904",46.6728714880714
"LOC102656905","LOC102656905",46.0207702898805
"LOC102656907","LOC102656907",4.6168045010784
"LOC102656908","LOC102656908",2.00121386343273
"LOC102656909","LOC102656909",22.5376775427512
"LOC102656910","LOC102656910",53.33213777756
"LOC102656911","LOC102656911",3.72860816920736
"LOC102656914","LOC102656914",24.0354059856242
"LOC102656916","LOC102656916",25.5065043012324
"LOC102656917","LOC102656917",1.59500011982042
"LOC102656919","LOC102656919",2.15551783170983
"LOC102656923","LOC102656923",3.01374913318266
"LOC102656924","LOC102656924",2.755611825523
"LOC102656927","LOC102656927",11.7548451665104
"LOC102656931","LOC102656931",14.2408432496314
"LOC102656932","LOC102656932",5.16001445311843
"LOC102656933","LOC102656933",48.9184407616857
"LOC102656934","LOC102656934",158.960568407828
"LOC102656935","LOC102656935",11.0383912046341
"LOC102656936","LOC102656936",59.9115859716778
"LOC102656939","LOC102656939",61.7439616774322
"LOC107963958","LOC107963958",10.0986500688631
"LOC107963959","LOC107963959",19.5671778621527
"LOC107963960","LOC107963960",66.2663235017988
"LOC107963961","LOC107963961",285.334215740159
"LOC107963962","LOC107963962",103.740304485593
"LOC107963963","LOC107963963",147.085345973085
"LOC107963964","LOC107963964",26.1524770257372
"LOC107963965","LOC107963965",151.566445998511
"LOC107963966","LOC107963966",16.4909037756999
"LOC107963967","LOC107963967",11.3271669966226
"LOC107963968","LOC107963968",21.6777450653163
"LOC107963969","LOC107963969",18.6378450756535
"LOC107963970","LOC107963970",112.774344514672
"LOC107963971","LOC107963971",204.641424015359
"LOC107963972","LOC107963972",440.506450739992
"LOC107963973","LOC107963973",32.6195693752287
"LOC107963974","LOC107963974",2.17587464896774
"LOC107963975","LOC107963975",27.7303779044158
"LOC107963976","LOC107963976",10.9580000104629
"LOC107963977","LOC107963977",16.4491327337162
"LOC107963978","LOC107963978",35.5446485448653
"LOC107963979","LOC107963979",456.95743433492
"LOC107963980","LOC107963980",21.1783866459842
"LOC107963981","LOC107963981",327.225638789502
"LOC107963982","LOC107963982",26.512613087299
"LOC107963983","LOC107963983",149.231047724051
"LOC107963984","LOC107963984",6.28000299141765
"LOC107963985","LOC107963985",39.8079972115718
"LOC107963986","LOC107963986",302.601800320775
"LOC107963987","LOC107963987",3.41788688460244
"LOC107963988","LOC107963988",64.3003619423337
"LOC107963989","LOC107963989",366.824450253214
"LOC107963990","LOC107963990",122.34935078653
"LOC107963991","LOC107963991",72.6427406012073
"LOC107963992","LOC107963992",8.3831124286722
"LOC107963993","LOC107963993",26.3541978253551
"LOC107963994","LOC107963994",5.35257494916344
"LOC107963995","LOC107963995",53.9115938166697
"LOC107963996","LOC107963996",29.404443547412
"LOC107963997","LOC107963997",14.1570348105495
"LOC107963998","LOC107963998",403.402470018394
"LOC107963999","LOC107963999",229.883031151351
"LOC107964000","LOC107964000",268.343972866236
"LOC107964001","LOC107964001",3.3723042930142
"LOC107964002","LOC107964002",23.0836531071363
"LOC107964003","LOC107964003",9.45425604034999
"LOC107964004","LOC107964004",7.1007470126556
"LOC107964005","LOC107964005",84.994526159711
"LOC107964006","LOC107964006",22.8406841749346
"LOC107964007","LOC107964007",11.8931955119905
"LOC107964008","LOC107964008",16.5930774380645
"LOC107964009","LOC107964009",2.17743242125337
"LOC107964010","LOC107964010",19.5453748839052
"LOC107964011","LOC107964011",6.16580880276219
"LOC107964012","LOC107964012",282.288890094728
"LOC107964013","LOC107964013",6.29135310416937
"LOC107964014","LOC107964014",2.54497094386486
"LOC107964015","LOC107964015",30.4439515723291
"LOC107964016","LOC107964016",53.0787601527708
"LOC107964017","LOC107964017",55.3742517610565
"LOC107964018","LOC107964018",409.606275542659
"LOC107964019","LOC107964019",31.5952333426144
"LOC107964020","LOC107964020",31.3083504164951
"LOC107964021","LOC107964021",110.234429961815
"LOC107964022","LOC107964022",145.087894205127
"LOC107964023","LOC107964023",11.9854366420041
"LOC107964024","LOC107964024",150.440448232415
"LOC107964025","LOC107964025",31.2289177566126
"LOC107964026","LOC107964026",82.545895991074
"LOC107964027","LOC107964027",6.24360986181426
"LOC107964028","LOC107964028",31.5385849199047
"LOC107964029","LOC107964029",2.69166105866846
"LOC107964030","LOC107964030",24.177586139808
"LOC107964031","LOC107964031",3.27534293881616
"LOC107964032","LOC107964032",16.0782471699023
"LOC107964033","LOC107964033",11.3243039823443
"LOC107964034","LOC107964034",52.8097891771107
"LOC107964035","LOC107964035",50.7484737330832
"LOC107964036","LOC107964036",3.05948382117249
"LOC107964037","LOC107964037",2.79141460203562
"LOC107964038","LOC107964038",16.3336454452374
"LOC107964039","LOC107964039",59.6977418889646
"LOC107964040","LOC107964040",7.35997059076462
"LOC107964041","LOC107964041",4.15095057615888
"LOC107964042","LOC107964042",8.42898084738572
"LOC107964043","LOC107964043",1.82177976899033
"LOC107964044","LOC107964044",38.4146269886334
"LOC107964045","LOC107964045",242.67603442235
"LOC107964046","LOC107964046",5.89998037661472
"LOC107964047","LOC107964047",18.182035230124
"LOC107964048","LOC107964048",13.015624364042
"LOC107964049","LOC107964049",26.0468068603522
"LOC107964050","LOC107964050",11.4739633839197
"LOC107964051","LOC107964051",2.88690722297756
"LOC107964052","LOC107964052",1.30717161438902
"LOC107964053","LOC107964053",2.42663653466126
"LOC107964054","LOC107964054",1.98141786333336
"LOC107964055","LOC107964055",3.25320494888507
"LOC107964056","LOC107964056",2.28795292056375
"LOC107964057","LOC107964057",4.8239224582418
"LOC107964058","LOC107964058",3.07259699051942
"LOC107964059","LOC107964059",14.3355453981699
"LOC107964060","LOC107964060",6.45395769085243
"LOC107964061","LOC107964061",6.01197829964928
"LOC107964062","LOC107964062",433.660567948845
"LOC107964063","LOC107964063",2.67703155873969
"LOC107964064","LOC107964064",25.2829386561011
"LOC107964065","LOC107964065",5.10214223353913
"LOC107964066","LOC107964066",49.8074913062275
"LOC107964067","LOC107964067",2.55959456395607
"LOC107964068","LOC107964068",6.63818687400315
"LOC107964069","LOC107964069",91.6308730625129
"LOC107964070","LOC107964070",176.182549142283
"LOC107964071","LOC107964071",68.7037148422168
"LOC107964072","LOC107964072",2.49156874567958
"LOC107964073","LOC107964073",42.49101185023
"LOC107964074","LOC107964074",6.68546932669504
"LOC107964075","LOC107964075",5.94978390110089
"LOC107964076","LOC107964076",1.95475814626995
"LOC107964077","LOC107964077",9.99000116094652
"LOC107964078","LOC107964078",28.8010317519833
"LOC107964079","LOC107964079",88.2563424264676
"LOC107964080","LOC107964080",8.03626673067476
"LOC107964081","LOC107964081",2.2374989345401
"LOC107964082","LOC107964082",16.3710278173568
"LOC107964083","LOC107964083",2.68506814797259
"LOC107964084","LOC107964084",3.21335869237944
"LOC107964085","LOC107964085",12.3759605538311
"LOC107964086","LOC107964086",4.20911721113848
"LOC107964087","LOC107964087",23.2442310934274
"LOC107964088","LOC107964088",1.54423389238914
"LOC107964089","LOC107964089",57.1934380561343
"LOC107964090","LOC107964090",36.5293195473938
"LOC107964091","LOC107964091",1.52951032841282
"LOC107964092","LOC107964092",20.7597069794019
"LOC107964093","LOC107964093",11.849177285756
"LOC107964094","LOC107964094",2.9864139349356
"LOC107964095","LOC107964095",50.3281894127752
"LOC107964096","LOC107964096",23.6461152151889
"LOC107964097","LOC107964097",109.100803813439
"LOC107964098","LOC107964098",1.4185341049584
"LOC107964099","LOC107964099",5.54973315401411
"LOC107964100","LOC107964100",28.5079052187799
"LOC107964101","LOC107964101",34.9868219681869
"LOC107964102","LOC107964102",5.35145450968485
"LOC107964103","LOC107964103",2.15300714415631
"LOC107964104","LOC107964104",24.9707384758811
"LOC107964105","LOC107964105",5.73151812180018
"LOC107964106","LOC107964106",2.41334773334259
"LOC107964108","LOC107964108",22.0381601380283
"LOC107964114","LOC107964114",27.8411616221472
"LOC107964125","LOC107964125",18.1254266929716
"LOC107964130","LOC107964130",2.01547496526168
"LOC107964131","LOC107964131",1.9245804852886
"LOC107964132","LOC107964132",12.1415833646286
"LOC107964133","LOC107964133",17.1794656068123
"LOC107964134","LOC107964134",15.778834111595
"LOC107964135","LOC107964135",72.9486867935775
"LOC107964136","LOC107964136",4.09752551850188
"LOC107964137","LOC107964137",1.93312847748855
"LOC107964138","LOC107964138",4.63726058638213
"LOC107964139","LOC107964139",9.82603130921435
"LOC107964140","LOC107964140",98.0125871541036
"LOC107964141","LOC107964141",69.082060258165
"LOC107964142","LOC107964142",2.7890413989424
"LOC107964143","LOC107964143",1.87526730582146
"LOC107964144","LOC107964144",62.8303599741351
"LOC107964145","LOC107964145",110.698529638155
"LOC107964146","LOC107964146",3.5032579238507
"LOC107964147","LOC107964147",1.25841135354968
"LOC107964148","LOC107964148",5.13265028498206
"LOC107964149","LOC107964149",7.47103807895004
"LOC107964150","LOC107964150",6.08205051552325
"LOC107964151","LOC107964151",2.1551157803619
"LOC107964152","LOC107964152",5.82935342565906
"LOC107964153","LOC107964153",1.5033010459652
"LOC107964154","LOC107964154",5.56382229830898
"LOC107964155","LOC107964155",1.67013842075677
"LOC107964156","LOC107964156",116.13755482473
"LOC107964157","LOC107964157",6.11759873910653
"LOC107964158","LOC107964158",7.46722457383492
"LOC107964159","LOC107964159",3.16562964143696
"LOC107964160","LOC107964160",12.2042671350477
"LOC107964161","LOC107964161",13.2937941729806
"LOC107964163","LOC107964163",1.8640592493768
"LOC107964164","LOC107964164",79.646943413936
"LOC107964165","LOC107964165",8.67837240848957
"LOC107964166","LOC107964166",123.280663650713
"LOC107964167","LOC107964167",50.2422221847521
"LOC107964168","LOC107964168",3.57388004244415
"LOC107964169","LOC107964169",5.00400693447809
"LOC107964170","LOC107964170",4.26783197488809
"LOC107964171","LOC107964171",6.77402479062356
"LOC107964172","LOC107964172",81.841942222692
"LOC107964173","LOC107964173",9.80396605462053
"LOC107964174","LOC107964174",5.06704055213738
"LOC107964175","LOC107964175",180.593309407926
"LOC107964176","LOC107964176",7.76460703732413
"LOC107964177","LOC107964177",30.9830037759175
"LOC107964178","LOC107964178",9.31215825849623
"LOC107964179","LOC107964179",6.02630360948412
"LOC107964180","LOC107964180",117.536271265463
"LOC107964181","LOC107964181",17.9477277549823
"LOC107964182","LOC107964182",8.1185208916949
"LOC107964183","LOC107964183",47.8488915960029
"LOC107964184","LOC107964184",6.49532464520066
"LOC107964185","LOC107964185",5.87926481720043
"LOC107964186","LOC107964186",16.9091932225864
"LOC107964187","LOC107964187",95.5329680708004
"LOC107964188","LOC107964188",3.57281776180361
"LOC107964189","LOC107964189",41.7918226151643
"LOC107964190","LOC107964190",1.85399777306543
"LOC107964191","LOC107964191",4.51353869045725
"LOC107964192","LOC107964192",3.91476684405401
"LOC107964193","LOC107964193",6.23411440802229
"LOC107964194","LOC107964194",2.76759010476297
"LOC107964195","LOC107964195",17.7757188849834
"LOC107964196","LOC107964196",2.01480664560513
"LOC107964197","LOC107964197",2.02852889301038
"LOC107964198","LOC107964198",19.1164997765497
"LOC107964199","LOC107964199",99.1645281054732
"LOC107964200","LOC107964200",25.0552111460643
"LOC107964201","LOC107964201",181.813928986077
"LOC107964202","LOC107964202",28.5311883997365
"LOC107964203","LOC107964203",9.35617244385031
"LOC107964204","LOC107964204",9.56078034971346
"LOC107964205","LOC107964205",8.12222815045039
"LOC107964206","LOC107964206",35.364308650597
"LOC107964207","LOC107964207",23.305463328715
"LOC107964208","LOC107964208",27.4161494678923
"LOC107964209","LOC107964209",54.1517934865644
"LOC107964210","LOC107964210",6.42977667084476
"LOC107964211","LOC107964211",116.014910973239
"LOC107964212","LOC107964212",42.3810237600157
"LOC107964213","LOC107964213",60.5441221779221
"LOC107964214","LOC107964214",24.7571369730529
"LOC107964215","LOC107964215",90.6010714071508
"LOC107964216","LOC107964216",2.29247917685684
"LOC107964217","LOC107964217",20.9258812807956
"LOC107964218","LOC107964218",20.9326337045934
"LOC107964219","LOC107964219",7.73885212418688
"LOC107964220","LOC107964220",2.87155099859638
"LOC107964221","LOC107964221",82.3952049346549
"LOC107964222","LOC107964222",38.9725460798012
"LOC107964223","LOC107964223",14.0702356233968
"LOC107964224","LOC107964224",9.96445818645947
"LOC107964225","LOC107964225",3.37837303568781
"LOC107964226","LOC107964226",17.918882415108
"LOC107964227","LOC107964227",13.1630916893
"LOC107964228","LOC107964228",2.17378736798634
"LOC107964229","LOC107964229",11.1670806736979
"LOC107964230","LOC107964230",53.8586100353298
"LOC107964231","LOC107964231",4.69207588330447
"LOC107964232","LOC107964232",8.19396132842115
"LOC107964233","LOC107964233",24.214280299922
"LOC107964234","LOC107964234",5.45400249188676
"LOC107964235","LOC107964235",60.9788961138384
"LOC107964236","LOC107964236",332.102702873817
"LOC107964237","LOC107964237",24.2426946565984
"LOC107964238","LOC107964238",3.71065978666714
"LOC107964253","LOC107964253",2.06272028606197
"LOC107964254","LOC107964254",3.89952471983927
"LOC107964255","LOC107964255",7.53088559883457
"LOC107964256","LOC107964256",36.0146429733269
"LOC107964257","LOC107964257",9.35634109294527
"LOC107964258","LOC107964258",240.210108427628
"LOC107964259","LOC107964259",22.9411626090552
"LOC107964260","LOC107964260",418.976506455338
"LOC107964261","LOC107964261",5.79583960833879
"LOC107964262","LOC107964262",30.3523605087996
"LOC107964263","LOC107964263",4.69254461304476
"LOC107964264","LOC107964264",15.5863753860773
"LOC107964265","LOC107964265",3.84110237773331
"LOC107964266","LOC107964266",204.739315271311
"LOC107964267","LOC107964267",6.81796851215231
"LOC107964268","LOC107964268",15.5446076488352
"LOC107964269","LOC107964269",5.63961488884537
"LOC107964270","LOC107964270",111.751769774321
"LOC107964271","LOC107964271",4.35398608714851
"LOC107964272","LOC107964272",2.03437446216403
"LOC107964273","LOC107964273",2.37551660782815
"LOC107964274","LOC107964274",12.3059413677258
"LOC107964275","LOC107964275",15.7388832973653
"LOC107964276","LOC107964276",10.0597743428332
"LOC107964277","LOC107964277",3.10650124960203
"LOC107964278","LOC107964278",23.3931762285924
"LOC107964279","LOC107964279",8.56750042809844
"LOC107964280","LOC107964280",4.46362309850895
"LOC107964281","LOC107964281",4.15038388390621
"LOC107964282","LOC107964282",1.8822197318805
"LOC107964283","LOC107964283",23.6859476446314
"LOC107964284","LOC107964284",304.779560683829
"LOC107964285","LOC107964285",1.2918961243319
"LOC107964286","LOC107964286",31.1578711121141
