"","Gene","kTotal"
"INTS8","INTS8",75.369877930274
"Imd","Imd",17.5463925441507
"InR-2","InR-2",1.89715488607673
"Ing3","Ing3",167.398224711348
"Ip3k","Ip3k",168.770650802298
"JHBP-1","JHBP-1",9.27893252344685
"Jhe","Jhe",9.410932549572
"Jtb","Jtb",77.9808411280094
"KAT2A","KAT2A",14.2368245143713
"Kakusei","Kakusei",20.5427030672273
"Kr","Kr",89.3601839823829
"Kr-h1","Kr-h1",8.15075564541928
"Ks-1","Ks-1",22.3178327440925
"LCCH3","LCCH3",66.2804211649071
"LOC100187599","LOC100187599",30.8703606632848
"LOC100188904","LOC100188904",41.1248456167255
"LOC100188940","LOC100188940",10.2958176943461
"LOC100217360","LOC100217360",45.2267753805108
"LOC100302106","LOC100302106",77.2346774100563
"LOC100379261","LOC100379261",58.3205014163015
"LOC100576080","LOC100576080",13.4746867720987
"LOC100576082","LOC100576082",211.358068073077
"LOC100576085","LOC100576085",114.092092984862
"LOC100576087","LOC100576087",3.28366281732179
"LOC100576088","LOC100576088",13.9744582603322
"LOC100576093","LOC100576093",334.088209471284
"LOC100576096","LOC100576096",446.785228510941
"LOC100576097","LOC100576097",219.296997462158
"LOC100576098","LOC100576098",14.6321166408318
"LOC100576099","LOC100576099",11.3995497354763
"LOC100576100","LOC100576100",274.688059952351
"LOC100576101","LOC100576101",23.2679577313006
"LOC100576103","LOC100576103",22.4855845561683
"LOC100576104","LOC100576104",19.3138628574408
"LOC100576105","LOC100576105",254.471746279326
"LOC100576106","LOC100576106",14.9175652126392
"LOC100576108","LOC100576108",353.682441503414
"LOC100576110","LOC100576110",52.700976577586
"LOC100576115","LOC100576115",415.791136814216
"LOC100576116","LOC100576116",63.8760422385235
"LOC100576118","LOC100576118",36.325058040758
"LOC100576120","LOC100576120",15.4276990019438
"LOC100576121","LOC100576121",101.886151423801
"LOC100576122","LOC100576122",27.7154752078113
"LOC100576125","LOC100576125",199.424137990289
"LOC100576126","LOC100576126",270.302681964563
"LOC100576128","LOC100576128",3.59833330587864
"LOC100576129","LOC100576129",19.514393921303
"LOC100576130","LOC100576130",128.945660215477
"LOC100576131","LOC100576131",18.2133060298568
"LOC100576132","LOC100576132",20.4276278853926
"LOC100576134","LOC100576134",20.5070664657985
"LOC100576135","LOC100576135",6.03839012699207
"LOC100576136","LOC100576136",5.78318113514907
"LOC100576137","LOC100576137",112.850608932033
"LOC100576139","LOC100576139",30.7421335673205
"LOC100576140","LOC100576140",54.38806495839
"LOC100576143","LOC100576143",133.396956216773
"LOC100576145","LOC100576145",49.2873106291781
"LOC100576146","LOC100576146",118.830077597017
"LOC100576147","LOC100576147",5.55679071948179
"LOC100576149","LOC100576149",3.42454635234431
"LOC100576150","LOC100576150",373.43546628237
"LOC100576151","LOC100576151",41.883167471039
"LOC100576152","LOC100576152",15.3415714430866
"LOC100576153","LOC100576153",12.2032593656079
"LOC100576155","LOC100576155",17.5424530827387
"LOC100576156","LOC100576156",190.517853163287
"LOC100576157","LOC100576157",41.7698623362409
"LOC100576159","LOC100576159",454.620866233975
"LOC100576161","LOC100576161",84.9360251146178
"LOC100576162","LOC100576162",231.079857540469
"LOC100576163","LOC100576163",13.0012572344274
"LOC100576164","LOC100576164",25.2389669899193
"LOC100576165","LOC100576165",52.9464035045749
"LOC100576167","LOC100576167",25.5338903046143
"LOC100576168","LOC100576168",59.384581537095
"LOC100576169","LOC100576169",48.4788633527306
"LOC100576170","LOC100576170",42.5646506571219
"LOC100576171","LOC100576171",127.790411007223
"LOC100576172","LOC100576172",2.3533785286989
"LOC100576173","LOC100576173",5.49097277906345
"LOC100576174","LOC100576174",13.1294629922365
"LOC100576176","LOC100576176",250.11034356208
"LOC100576179","LOC100576179",62.1926517872303
"LOC100576182","LOC100576182",5.96961102742476
"LOC100576183","LOC100576183",1.6221745039703
"LOC100576184","LOC100576184",49.9096356601729
"LOC100576185","LOC100576185",350.353354270685
"LOC100576186","LOC100576186",34.4772187397176
"LOC100576187","LOC100576187",120.802682163942
"LOC100576188","LOC100576188",425.18373114551
"LOC100576189","LOC100576189",30.1311154271829
"LOC100576192","LOC100576192",41.1818697588458
"LOC100576193","LOC100576193",27.1272194450564
"LOC100576194","LOC100576194",116.756736358738
"LOC100576195","LOC100576195",51.4582496386455
"LOC100576196","LOC100576196",67.3144433821634
"LOC100576198","LOC100576198",244.96688544308
"LOC100576199","LOC100576199",4.69622673921376
"LOC100576207","LOC100576207",6.50501288381644
"LOC100576211","LOC100576211",352.214464013081
"LOC100576212","LOC100576212",1.45085907274372
"LOC100576213","LOC100576213",108.824340192257
"LOC100576215","LOC100576215",6.74741147918725
"LOC100576216","LOC100576216",105.546182993919
"LOC100576217","LOC100576217",161.647686290762
"LOC100576220","LOC100576220",19.2258019064742
"LOC100576221","LOC100576221",276.102251120785
"LOC100576222","LOC100576222",18.3719206974044
"LOC100576223","LOC100576223",11.5388414626939
"LOC100576224","LOC100576224",247.735768775286
"LOC100576225","LOC100576225",10.5027005228492
"LOC100576226","LOC100576226",24.3971180171381
"LOC100576227","LOC100576227",224.44847324795
"LOC100576230","LOC100576230",71.6027428880266
"LOC100576231","LOC100576231",305.534272775998
"LOC100576232","LOC100576232",35.3588573743875
"LOC100576233","LOC100576233",274.777245238913
"LOC100576234","LOC100576234",106.228285355859
"LOC100576236","LOC100576236",63.8332426591704
"LOC100576242","LOC100576242",62.6518592456751
"LOC100576243","LOC100576243",42.2905693991552
"LOC100576246","LOC100576246",70.2715197312942
"LOC100576247","LOC100576247",68.0239073381259
"LOC100576248","LOC100576248",50.8170688299487
