"","Gene","tau"
"LOC102653609","LOC102653609",0.995549865921968
"LOC102653608","LOC102653608",0.893809639661558
"LOC413363","LOC413363",0.532469617268275
"LOC411433","LOC411433",0.334297219448838
"LOC411435","LOC411435",0.461332362731725
"LOC411126","LOC411126",0.790722848498663
"LOC411124","LOC411124",0.716390641572818
"LOC411125","LOC411125",0.52065839987715
"LOC411122","LOC411122",0.403091213189176
"LOC411121","LOC411121",0.368604201126499
"LOC100577574","LOC100577574",0.543380530812082
"LOC409845","LOC409845",0.897637888122902
"LOC409846","LOC409846",0.390970315741212
"LOC409847","LOC409847",0.681271914014117
"LOC409841","LOC409841",0.438473633186421
"LOC409842","LOC409842",0.293433738819189
"LOC409843","LOC409843",0.865102091487652
"LOC727220","LOC727220",0.650130335614207
"LOC409849","LOC409849",0.817326414228055
"LOC102655768","LOC102655768",0.9168
"Cox6c","Cox6c",0.883845599212274
"LOC408717","LOC408717",0.728152914597503
"LOC408716","LOC408716",0.84129176455302
"LOC408715","LOC408715",0.956414740312109
"LOC408714","LOC408714",0.778775421587261
"LOC408713","LOC408713",0.344865391019237
"LOC408712","LOC408712",0.514652307294182
"LOC408711","LOC408711",0.570977827206648
"LOC408710","LOC408710",0.418791807033276
"LOC102655784","LOC102655784",0.576088427701331
"LOC410135","LOC410135",0.784623562968075
"LOC408718","LOC408718",0.892837780012409
"LOC724826","LOC724826",0.566361236555621
"LOC724827","LOC724827",0.758165375550141
"LOC100577798","LOC100577798",0.687680819240805
"LOC724825","LOC724825",0.76438961038961
"LOC100578560","LOC100578560",0.410766817462799
"LOC100578561","LOC100578561",0.716555023923445
"LOC100578562","LOC100578562",0.971301652892562
"LOC100578563","LOC100578563",0.77577363960093
"Mir6005","Mir6005",0.620411782245029
"LOC100578568","LOC100578568",0.789338568408336
"LOC100577797","LOC100577797",0.776616355617636
"LOC100577794","LOC100577794",0.696565826616332
"LOC100577795","LOC100577795",0.752493655162618
"LOC107965377","LOC107965377",0.939393939393939
"LOC410648","LOC410648",0.974362848134524
"LOC725755","LOC725755",0.541681317865762
"LOC410649","LOC410649",0.779500914778295
"LOC102656390","LOC102656390",0.947780984447651
"LOC102656392","LOC102656392",0.834157371403703
"LOC102656393","LOC102656393",0.921630094043887
"LOC102656394","LOC102656394",0.817309253246753
"LOC102656395","LOC102656395",0.850712645399631
"LOC102656644","LOC102656644",0.794338271419887
"LOC102656397","LOC102656397",0.586292134831461
"LOC102656398","LOC102656398",0.977098415294031
"LOC725753","LOC725753",0.580272706753032
"LOC102656648","LOC102656648",0.86344696969697
