"alpha.Cat1","alpha.Cat2","alpha.Cat3","stage","species"
"0.203171748601","-0.09111333168","0.104211205536","larva","ant"
"0.176716956871","0.158881263914","0.301619410583","larva","ant"
"0.212406472275","0.020484094859","0.116071806889","larva","ant"
"0.185957079231","-0.292706239438","0.0381370315363","larva","ant"
"0.20280630125","-0.0225709946093","0.0570622276727","larva","ant"
"0.229665741246","-0.0951446340347","0.175846448878","larva","ant"
"0.195599120384","-0.121657395961","0.115985750828","larva","ant"
"0.182763796674","0.184900805997","0.215643666156","larva","ant"
"0.17150729332","0.0189334230597","0.274716420659","larva","ant"
"0.192486726175","0.0638405945563","0.225715308073","larva","ant"
"0.197117063482","-0.0435207020504","0.232376661002","larva","ant"
"0.197199638945","-0.0532850991385","0.174069203427","larva","ant"
"0.165268842469","-0.13356805317","0.0414937072875","larva","ant"
"0.241785253218","0.0443298146762","0.228359351802","larva","ant"
"0.186909544716","-0.0131875815864","0.0802351424961","larva","ant"
"0.142225236984","-0.121083743503","0.24706269567","larva","ant"
"0.185645886869","0.0427992343438","0.0585357374551","larva","ant"
"0.174046574197","-0.0394310257764","0.10030418565","larva","ant"
"0.19142884122","0.00554152646104","0.280827693035","larva","ant"
"0.175698507589","0.117865256905","0.0577022888306","larva","ant"
"0.185318787246","0.114937284267","0.11705613812","larva","ant"
"0.241827498271","-0.0300503792203","0.38391816071","larva","ant"
"0.162013440769","0.108819849443","0.10523392641","larva","ant"
"0.24938987819","0.104459781024","0.141283081924","larva","ant"
"0.230733127194","-0.0878669552697","0.145039766319","larva","ant"
"0.205111111882","0.048969496113","0.276078957829","larva","ant"
"0.172720633168","-0.0864041239112","0.129179712269","larva","ant"
"0.205428434195","0.302068965827","0.215216012174","larva","ant"
"0.190247014325","0.047324424561","0.149187544568","larva","ant"
"0.204293820777","-0.203482087951","0.228466850619","larva","ant"
"0.200678999471","-0.316299332357","0.25507142206","larva","ant"
"0.184548894801","-0.347031694033","0.331283855763","larva","ant"
"0.23091090662","-0.148131866757","0.170799170041","larva","ant"
"0.232261784798","0.0362954288517","0.134419546471","larva","ant"
"0.219004063082","-0.0975722760066","0.0930256898682","larva","ant"
"0.217168964882","0.173703248763","0.0422357331553","larva","ant"
"0.220729814612","-0.0533694506207","0.26670315049","larva","ant"
"0.252152136959","0.160965671189","0.284355622943","larva","ant"
"0.188535833791","-0.034433351675","0.0650876595289","larva","ant"
"0.159620724536","0.0646502527162","0.0268843071256","larva","ant"
"0.184433923948","-0.10354481263","0.2122030071","larva","ant"
"0.205479770016","0.018488618438","0.241781742283","larva","ant"
"0.213376117048","-0.0751166258431","0.076330368828","larva","ant"
"0.157775517566","0.0830305824642","0.0559952412503","larva","ant"
"0.201600005152","0.231640454963","0.260041201264","larva","ant"
