"","Gene","larva","pupa","head","thorax","abdomen","DEcat","FDR","conn"
"1","LOC105827754",-0.610835617893639,-3.41222196266522,0,-1.90182022551716,-9.87837947802564,"queen",6.54523923064667e-14,18.7364039171129
"2","LOC105827773",-0.190530868356607,0.597588705143473,-0.217624968222045,0.63935092690655,-1.82462626210751,"queen",3.0706486124983e-05,95.7946795058743
"3","LOC105827777",-0.200974147191315,0.77427069445924,0.119563012696374,1.77480723322487,-2.34030770120989,"queen",9.31061280498788e-05,182.376237474441
"4","LOC105827794",-0.814445422595178,-1.49069695860657,0.502785596739893,2.88056635391023,-4.00033927509303,"queen",8.52875111060107e-05,108.996164539068
"5","LOC105827797",-0.13285696058362,-0.457141915976407,-0.088902392032576,0.366689714861434,-2.22541625491529,"queen",0.00497880019613467,67.6598077817239
"6","LOC105827799",-0.612711892905702,0.989924542813664,-0.512153320939415,-0.840795226137715,-2.28019484845039,"queen",0.00043306122283127,161.195201474267
"7","LOC105827809",0.294274191970256,0.356519005094687,0.565624748602036,0.648430493077623,-1.61521022080913,"queen",2.4293645597467e-06,32.7054072848861
"8","LOC105827825",1.7381305857655,0.277661846533019,-1.99522426169716,-2.77194361949755,2.16984105348535,"worker",7.014450892004e-07,2.74056314487211
"9","LOC105827847",-0.229731271348576,-0.123092104207395,-0.373750787741427,-0.339166799157031,-1.17958171247698,"queen",0.0280681922169819,85.5242662258084
"10","LOC105827848",-0.635249075770549,2.25169321092294,3.30185761737397,3.4154079568509,2.9542366713884,"worker",2.67946639400875e-13,1.25377586419347
"11","LOC105827883",0.0521264626942654,-0.434244443341971,-0.225046710334392,-0.718964503812255,-3.03956822079815,"queen",1.61044336335764e-11,204.064722049067
"12","LOC105827943",0.614040993222318,-0.212761586120412,0.34256477228102,0.267079454492716,-1.67346104416129,"queen",1.68575042742982e-05,23.5548281926567
"13","LOC105828138",-0.565991386622963,-1.17611515490457,-0.116961133900156,-2.22567213831131,-3.17864157199411,"queen",1.32947025886762e-13,35.9740757628581
"14","LOC105828141",-0.62208724075524,-0.304450462574027,0.503900840065378,0.861763920514223,-3.03028671188836,"queen",6.49977469541407e-05,189.205289316626
