"","head.bee","gaster.bee","mesosoma.bee","head.ant","gaster.ant","mesosoma.ant","head.overlap","gaster.overlap","mesosoma.overlap"
"149",0,2,0,31,0,0,0,0,0
"150",0,1,15,0,5,407,0,0,1
"151",0,1,0,2,36,0,0,0,0
"152",0,274,0,24,33,0,0,4,0
"153",0,285,0,6,0,0,0,0,0
"154",100,0,0,1,0,0,0,0,0
"155",0,0,0,2,0,53,0,0,0
"156",0,1,23,28,55,0,0,0,0
"157",0,0,29,2,0,0,0,0,0
"158",1,1,0,1,0,0,0,0,0
"159",0,0,0,0,1,0,0,0,0
"160",5,255,0,2,12,1,0,0,0
"161",0,1,0,0,0,0,0,0,0
"162",0,6,0,30,0,0,0,0,0
"163",0,0,2,1,0,42,0,0,0
"164",1,0,0,0,0,0,0,0,0
"165",0,0,0,14,0,1,0,0,0
"166",33,4,90,1,13,44,0,0,0
"167",0,0,0,0,0,1,0,0,0
"168",0,336,11,54,0,1,0,0,0
"169",61,0,0,2,0,0,0,0,0
"170",5,20,0,0,0,0,0,0,0
"171",0,0,2,0,0,0,0,0,0
"172",12,4,1,0,0,50,0,0,0
"173",0,0,2,0,0,34,0,0,0
"174",2,1,0,8,1114,252,0,0,0
"175",0,7,33,2,0,75,0,0,0
"176",36,0,0,0,0,0,0,0,0
"177",35,0,0,5,0,42,0,0,0
"178",5,0,1,1,2,0,0,0,0
"179",3,0,0,11,0,0,0,0,0
"180",0,431,0,5,0,0,0,0,0
"181",21,10,8,1,1,0,0,0,0
"182",0,3,2,0,96,60,0,0,0
"183",13,1,0,0,0,203,0,0,0
"184",0,0,4,0,0,1,0,0,0
"185",0,0,0,3,58,0,0,0,0
"186",0,0,0,0,0,0,0,0,0
"187",19,0,0,2,8,0,0,0,0
"188",5,0,0,0,0,0,0,0,0
"189",0,351,0,1,12,36,0,0,0
"190",0,1,0,0,1,0,0,0,0
"191",0,1,4,75,1114,0,0,0,0
"192",139,0,1,0,13,20,0,0,0
"193",2,7,6,2,273,0,0,0,0
"194",11,1,0,0,0,0,0,0,0
"195",0,2,0,2,2,0,0,0,0
"196",10,1178,6,78,0,0,4,0,0
"197",1,283,0,0,0,55,0,0,0
"198",0,0,22,0,0,0,0,0,0
"199",0,0,33,12,0,53,0,0,0
"200",14,0,16,0,0,0,0,0,0
"201",141,0,4,0,0,160,0,0,0
"202",5,0,0,15,2,51,0,0,0
"203",0,0,127,11,1,170,0,0,2
"204",0,0,0,2,0,0,0,0,0
"205",0,332,0,35,0,0,0,0,0
"206",0,0,0,0,0,1,0,0,0
"207",0,461,0,1,155,0,0,22,0
"208",0,0,0,14,0,200,0,0,0
"209",144,0,30,0,5,0,0,0,0
"210",8,0,0,1,0,0,0,0,0
"211",16,0,1,21,0,0,1,0,0
"212",1,0,0,9,0,0,0,0,0
"213",0,1,0,114,0,0,0,0,0
"214",40,1,0,0,2,0,0,0,0
"215",5,0,0,3,85,0,0,0,0
"216",0,637,0,0,0,0,0,0,0
"217",0,385,1,0,0,1,0,0,0
"218",0,0,0,0,0,17,0,0,0
"219",0,404,0,1,15,30,0,0,0
"220",0,0,12,7,190,2,0,0,0
"221",1,0,73,1,0,1,0,0,0
"222",1,2,0,0,0,1,0,0,0
"223",0,0,148,1,3,0,0,0,0
"224",0,0,0,2,0,35,0,0,0
"225",12,0,0,4,7,32,0,0,0
"226",0,5,0,13,0,0,0,0,0
"227",0,1,20,3,36,0,0,0,0
"228",10,2,0,9,382,0,0,0,0
"229",104,0,26,1,14,0,0,0,0
"230",0,0,0,0,0,0,0,0,0
"231",10,16,38,0,0,0,0,0,0
"232",16,310,0,0,0,0,0,0,0
"233",17,0,2,0,33,282,0,0,0
"234",16,0,52,30,0,0,1,0,0
"235",0,0,0,0,0,36,0,0,0
"236",7,345,0,0,0,51,0,0,0
"237",5,0,73,1,0,0,0,0,0
"238",5,0,7,0,0,1,0,0,0
"239",13,0,1,24,0,0,0,0,0
"240",1,28,4,1,0,51,0,0,0
"241",0,1,52,0,0,43,0,0,0
"242",0,0,162,0,1,0,0,0,0
"243",100,0,0,0,3,0,0,0,0
"244",0,0,1,15,0,0,0,0,0
"245",0,0,35,0,0,0,0,0,0
"246",3,6,1,9,2,19,0,0,0
"247",5,10,0,2,0,0,0,0,0
"248",1,583,11,0,1,1,0,0,0
"249",0,0,0,0,0,0,0,0,0
"250",42,0,0,20,13,0,2,0,0
"251",1,0,0,0,224,30,0,0,0
"252",0,0,325,13,0,3,0,0,0
"253",0,0,1,0,55,0,0,0,0
"254",0,2,0,0,0,282,0,0,0
"255",0,20,0,0,6,21,0,1,0
"256",12,0,0,8,0,1,1,0,0
"257",14,0,14,0,11,0,0,0,0
"258",47,0,0,0,0,0,0,0,0
"259",0,0,0,0,1114,282,0,0,0
"260",17,0,15,0,649,0,0,0,0
"261",0,0,0,0,0,0,0,0,0
"262",0,0,48,1,8,97,0,0,0
"263",3,0,0,0,0,0,0,0,0
"264",5,0,0,75,0,0,0,0,0
"265",21,1,0,13,0,0,0,0,0
"266",0,0,0,75,0,0,0,0,0
"267",1,393,15,17,21,0,0,2,0
"268",0,6,206,12,0,45,0,0,1
"269",19,0,0,0,2,1,0,0,0
"270",1,3,4,0,0,0,0,0,0
"271",14,1,0,1,0,0,0,0,0
"272",0,0,10,31,3,0,0,0,0
"273",3,0,0,0,5,22,0,0,0
"274",70,0,0,0,0,0,0,0,0
"275",48,10,1,75,0,252,1,0,0
"276",0,0,121,0,16,0,0,0,0
"277",12,0,2,0,0,0,0,0,0
"278",7,0,0,0,0,0,0,0,0
"279",0,0,81,0,1,21,0,0,0
"280",3,0,0,0,1,58,0,0,0
"281",14,0,0,47,1,177,1,0,0
"282",10,4,0,0,0,263,0,0,0
"283",0,7,0,0,105,19,0,0,0
"284",0,0,0,1,0,57,0,0,0
"285",0,380,0,114,0,0,0,0,0
"286",0,0,0,78,0,0,0,0,0
"287",12,0,0,1,130,0,0,0,0
"288",24,0,0,11,0,34,0,0,0
"289",104,0,0,0,1,0,0,0,0
"290",0,380,0,58,0,0,0,0,0
"291",0,366,7,0,7,0,0,3,0
"292",20,2,0,1,0,0,0,0,0
"293",0,461,0,0,2,0,0,0,0
"294",0,0,0,1,0,0,0,0,0
"295",10,0,0,0,15,0,0,0,0
"296",2,1,0,0,0,170,0,0,0
"297",0,0,0,4,0,0,0,0,0
"298",0,0,0,1,1,310,0,0,0
"299",62,9,0,3,2,121,0,0,0
"300",4,0,0,58,0,53,0,0,0
"301",12,0,90,1,0,0,0,0,0
"302",17,0,89,0,0,0,0,0,0
"303",7,1,32,0,1,0,0,0,0
"304",16,0,0,38,14,0,1,0,0
"305",0,0,0,0,0,0,0,0,0
"306",52,0,0,0,47,0,0,0,0
"307",213,0,10,0,0,0,0,0,0
"308",16,0,0,0,0,0,0,0,0
"309",44,1,1,7,122,0,1,0,0
"310",0,0,0,0,0,0,0,0,0
"311",0,0,0,0,0,11,0,0,0
"312",1,0,6,0,2,0,0,0,0
"313",1,0,0,1,4,0,0,0,0
"314",0,274,0,1,47,0,0,16,0
"315",16,1,0,9,0,1,0,0,0
"316",86,1,11,6,0,0,0,0,0
"317",0,308,1,2,52,0,0,7,0
"318",1,2,0,0,0,81,0,0,0
"319",69,305,0,2,8,0,0,0,0
"320",0,0,0,10,238,0,0,0,0
"321",0,0,6,8,0,1,0,0,0
"322",8,12,1,2,4,4,0,0,0
"323",0,0,0,91,0,0,0,0,0
"324",0,13,61,1,2,19,0,0,0
"325",14,493,0,0,0,11,0,0,0
"326",203,0,1,1,0,0,0,0,0
"327",5,13,3,1,0,77,0,0,0
"328",47,274,0,0,0,0,0,0,0
"329",0,7,1,0,0,0,0,0,0
"330",2,0,355,1,95,6,0,0,0
"331",0,0,0,0,0,24,0,0,0
"332",0,0,0,0,40,0,0,0,0
"333",0,4,355,0,0,0,0,0,0
"334",0,0,355,0,9,0,0,0,0
"335",12,0,155,0,8,272,0,0,11
"336",0,260,0,10,3,0,0,0,0
"337",0,1,121,0,0,22,0,0,0
"338",3,8,0,0,33,52,0,0,0
"339",0,0,0,0,0,44,0,0,0
"340",0,0,0,2,0,39,0,0,0
"341",3,5,1,30,0,0,0,0,0
"342",0,16,35,0,1,0,0,0,0
"343",18,0,0,15,2,0,0,0,0
"344",12,0,7,61,1,33,0,0,0
"345",0,0,155,0,0,0,0,0,0
"346",2,1,1,25,43,0,0,0,0
"347",0,235,11,0,0,0,0,0,0
"348",3,274,0,0,0,6,0,0,0
"349",10,282,2,4,0,0,0,0,0
"350",0,6,1,0,1,23,0,0,0
"351",2,2,0,0,7,2,0,0,0
"352",5,0,0,0,1,6,0,0,0
"353",1,0,0,12,0,1,0,0,0
"354",0,6,89,11,0,0,0,0,0
"355",0,0,34,0,0,55,0,0,0
"356",0,475,0,2,0,0,0,0,0
"357",18,2,1,0,0,0,0,0,0
"358",21,0,0,1,2,35,0,0,0
