"","x"
"LOC105833862",0.908268820372
"LOC105834021",0.322734675622
"LOC105833875",0.188927759229
"LOC105840298",0.0907071954231
"LOC105832371",0.885942659634
"LOC105836890",0.156428673278
"LOC105841098",0.20501750906
"LOC105838328",0.212294247211
"LOC105836915",0.647621692818
"LOC105835726",0.412443414577
"LOC105830886",0.0634528813227
"LOC105833312",0.375526093986
"LOC105832675",0.167697611975
"LOC105830105",0.148356067768
"LOC105830948",0.236513321182
"LOC105838661",0.166372948133
"LOC105831139",1
"LOC105835396",0.0622916537516
"LOC105830831",0.464935172499
"LOC105833660",0.00197426114537
"LOC105829408",0.146133845351
"LOC105829774",0.501686834918
"LOC105833865",0.791165000805
"LOC105834298",0.460068051787
"LOC105833263",0.636856667489
"LOC105831383",0.264049977298
"LOC105833949",0.329033844875
"LOC105834588",0.184618755977
"LOC105832003",0.512886137131
"LOC105836880",1
"LOC105830063",0.425927417058
"LOC105838807",0.108869857269
"LOC105831051",1
"LOC105835156",0.385587588774
"LOC105830494",0.161801977518
"LOC105831482",0.568761823258
"LOC105840456",0.52847646431
"LOC105828656",0.218759887437
"LOC105836546",0.761619632135
"LOC105831688",0.507167226626
"LOC105831967",0.376890282119
"LOC105834301",0.356577429246
"LOC105828578",0.3179714871
"LOC105837373",0.187003990659
"LOC105828356",0.421420140104
"LOC105833983",0.584158071543
"LOC105832527",0.999999999995
"LOC105831738",0.883160718551
"LOC105832595",0.538365603587
"LOC105838533",0.0573723987016
"LOC105838585",0.210605955156
"LOC105837648",0.290985781931
"LOC105832705",0.149905675324
"LOC105840742",0.225352375504
"LOC105835143",0.28591256796
"LOC105829359",0.544240800817
"LOC105837842",0.617439022876
"LOC105834456",0.189759947077
"LOC105833351",0.272092574892
"LOC105838226",0.261451364944
"LOC105828960",0.488913871439
"LOC105837536",0.39551187046
"LOC105832148",0.294500120391
"LOC105836240",0.433698732774
"LOC105834867",0.451741186806
"LOC105834581",0.850006783362
"LOC105834055",0.999999999996
"LOC105839172",0.289013037214
"LOC105830331",0.160058461563
"LOC105836205",0.7687027647
"LOC105827850",0.54102003528
"LOC105837460",0.425847838493
"LOC105828602",0.115964171688
"LOC105837871",0.405053435773
"LOC105833349",0.17247984146
"LOC105828834",0.123532829552
"LOC105840640",0.256832803744
"LOC105835213",0.207730537628
"LOC105831681",0.376710515586
"LOC105837449",0.421851478586
"LOC105837894",0.885162846776
"LOC105840776",0.0451964858247
"LOC105829379",0.202912623186
"LOC105834675",0.283511377867
"LOC105834465",0.166875299315
"LOC105837844",0.293153819619
"LOC105835339",0.188987876498
"LOC105837313",0.677307307458
"LOC105836582",0.0904868841641
"LOC105834902",0.507253282953
"LOC105829524",0.224227824504
"LOC105837722",0.550217841323
"LOC105837295",0.327519238825
"LOC105840301",0.222841698218
